Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Fsize
0,3,Man,male,22.0,1,0,7.25,X,S,2
1,1,Married,female,38.0,1,0,71.2833,C,C,2
1,3,Unmarried,female,26.0,0,0,7.925,X,S,1
1,1,Married,female,35.0,1,0,53.1,C,S,2
0,3,Man,male,35.0,0,0,8.05,X,S,1
0,3,Man,male,25.854036396555124,0,0,8.4583,X,Q,1
0,1,Man,male,54.0,0,0,51.8625,E,S,1
0,3,Man,male,2.0,3,1,21.075,X,S,5
1,3,Married,female,27.0,0,2,11.1333,X,S,3
1,2,Married,female,14.0,1,0,30.0708,X,C,2
1,3,Unmarried,female,4.0,1,1,16.7,G,S,3
1,1,Unmarried,female,58.0,0,0,26.55,C,S,1
0,3,Man,male,20.0,0,0,8.05,X,S,1
0,3,Man,male,39.0,1,5,31.275,X,S,7
0,3,Unmarried,female,14.0,0,0,7.8542,X,S,1
1,2,Married,female,55.0,0,0,16.0,X,S,1
0,3,Man,male,2.0,4,1,29.125,X,Q,6
1,2,Man,male,36.37196553890185,0,0,13.0,X,S,1
0,3,Married,female,31.0,1,0,18.0,X,S,2
1,3,Married,female,22.62279623058681,0,0,7.225,X,C,1
0,2,Man,male,35.0,0,0,26.0,X,S,1
1,2,Man,male,34.0,0,0,13.0,D,S,1
1,3,Unmarried,female,15.0,0,0,8.0292,X,Q,1
1,1,Man,male,28.0,0,0,35.5,A,S,1
0,3,Unmarried,female,8.0,3,1,21.075,X,S,5
1,3,Married,female,38.0,1,5,31.3875,X,S,7
0,3,Man,male,25.854036396555124,0,0,7.225,X,C,1
1,3,Unmarried,female,16.16031589865021,0,0,7.8792,X,Q,1
0,3,Man,male,25.854036396555124,0,0,7.8958,X,S,1
0,1,Man,male,40.0,0,0,27.7208,X,C,1
1,1,Married,female,38.0531153116038,1,0,146.5208,B,C,2
1,3,Unmarried,female,16.16031589865021,0,0,7.75,X,Q,1
0,2,Man,male,66.0,0,0,10.5,X,S,1
0,1,Man,male,28.0,1,0,82.1708,X,C,2
0,1,Man,male,42.0,1,0,52.0,X,S,2
1,3,Man,male,25.854036396555124,0,0,7.2292,X,C,1
0,3,Man,male,21.0,0,0,8.05,X,S,1
0,3,Unmarried,female,18.0,2,0,18.0,X,S,3
1,3,Unmarried,female,14.0,1,0,11.2417,X,C,2
0,3,Married,female,40.0,1,0,9.475,X,S,2
